start	end	text
349	12552	E considera probabilmente una chiamata di sistema o interfaccia per dialogare con il sistema operativo.
13332	14553	Ecco perché cosa significa.
14673	18353	Noi la vogliamo ad altro rivelo, di conseguenza tutto quello che c'è sotto è nascosto.
20194	22194	Se io apro il codice puoi vedere cosa.
24675	26455	È chiaro, adesso siamo nella logica.
26895	28576	Mi interessa sapere cosa fa.
30518	33459	cos'ha a disegno dell'ingresso e cosa restituisce, basta.
34359	34899	Come lo fa?
34919	36720	Non ne frega niente.
36800	47963	Il motivo per cui vi ho detto, quando progettate, progettate in funzione di chi dovrà usare, o la classe o la funzione.
49803	55725	Perché chi userà quelle cose lì, a lui non gliene fregherà niente di come funziona, l'importante è che funziona.
58027	68729	e quindi dovete vestire due panni di chi usa quello che progettate e di chi sviluppa quello che c'è dentro.
69450	73831	Due visioni completamente diverse.
74991	80172	Quindi il discorso del capire il senso del sistema relativo è come un discorso di risorse.
80192	84493	Le risorse sono hardware, io ho messo tutto quanto hardware per dire ok, tutto passa
86343	92628	E lui, quando io gli dico per me prendere un'applicazione che sta di sopra, è lui che sa dove stanno i dischi.
94069	94910	No, non fa funzione.
95030	96571	Funzione è che bisogna mettere una richiesta.
97712	104217	Che viene trasformata, chiaro?
104478	111503	Cioè, l'assembla è da tanto che non si fa l'assembla seriamente.
115473	126981	L'hanno scolto e detto, ovviamente, ho parlato anche in terza, perché lo dico sempre, prima di cominciare a programmare devo sapere che praticamente che tutto quello che scrivono con un colleguaggio verrà tradotto.
128122	129242	Ve lo disse anche in seconda.
129282	133365	Ci sono i traduttori, e ci sono i tipi di traduttori, no?
134406	135667	Integrati, combinatori.
137128	138569	E poi c'è gli assemblatori.
139389	140250	Qual è la differenza?
140410	145053	Tutti traducono, perché si chiamano in maniera diversa, traducono in maniera diversa.
147682	148102	Ci siete?
149203	149843	C'è una cosa.
151924	155987	Tu sei in un'istruzione in C o ci vuole un traduttore?
156227	157648	Perché lui il C non lo capisce.
159129	168854	Evidentemente traduzione significa che ci vogliono due linguaggi che riferimentano un sorviente, un punto di partenza, e poi una traduzione.
171416	173337	La traduzione in cosa?
173877	174858	In un altro linguaggio.
175338	176058	Quale linguaggio?
180940	186183	Ci sono due risposte o linguaggio macchino o assembler.
191005	196988	Attenzione, nella risposta o linguaggio macchino o assembler c'è anche un'altra spiegazione.
197008	198149	C'è un'altra risposta.
201230	205192	Tra i traduttori c'è l'assemblatore che traduce in maniera diversa.
206613	208694	E in cosa consiste questa traduzione diversa?
211129	237731	quando faccio la traduzione di fatto io faccio una traduzione in assembler e l'assembler significa appunto quello che avete fatto, move il problema è che quel move accanto c'è il corrispondente codice a chino quindi ogni volta che c'è un'istruzione assembler automaticamente c'è un assemblatore
239580	268126	che va lì a ricavare il codice operativo, codice operativo e codice macchina e quindi c'è una traduzione, un'istruzione, un codice operativo 1 a 1 quando io vado a tradurre un if, beh, la traduzione è 1 a n tanto è vero che noi, tanto è vero che si vede meglio con il while il while in assegno non esiste
270555	298976	esiste il go-to o il jump non il go-to, il jump se voglio costruire un ciclo while devo usare il jump poi ti espongo un'interfaccia ti dico ok scrivo in questo modo while come la diciamo la traduzione è n e funzioni assembler per ciascuna c'è un codice macchina associato qual è la traduzione?
301365	302266	Ci siete?
303126	312694	Se lavorate in Assembler, se lavorate in Assembler, il DOS con sistema operativo DOS, il DOS espone e c'è ancora credo.
313715	315957	L'hanno rivolto per certi versi.
317358	321562	Questo per garantire la retrocompatibilità dei sistemi operativi.
321642	329989	C'è una cosa che viene nelle vostre routine, avrete sicuramente utilizzato,
333633	359709	l'interventone quella, adesso prima era questo per venire a quello che hai detto te diciamo le PI del DOS no questa era l'interfaccia che metteva a disposizione il DOS per accedere ai suoi servizi
361173	388524	e quindi ogni volta che usiamo int, attenzione int 21, la chiamata poi c'era ovviamente dovevo dire quale chiamata dovevo specializzarla quale servizio volevo di partiziana devo dire che il problema è chi gestiva questa chiamata questa è una chiamata un accollo, una chiamata di funzione, il problema è chi la gestiva si chiama con le tue
389638	391760	Questo significa, sistema operativo, pensateci.
393582	399328	Se apriti i vostri codici per lavorare nell'ambiente dosse, tipo l'INT, ci sono andate altissime.
399848	401890	Ci sono due tipologie specifiche.
402130	413841	Uno, l'INT 21, l'INT 21, l'interfaccia che metteva a disposizione il dossier, e poi c'era un altro, l'INT,
415963	442735	e c'era un hint che metteva a disposizione invece quello che ti consentiva di lavorare direttamente con Garbler che metteva a disposizione il BIOS e quindi esiste anche questa possibilità di raggiungere la rada direttamente passando attraverso dei servizi del BIOS
444970	455579	perché volevo realizzare un'applicazione svincolata dal sistema operativo.
457900	462764	A me non interessava utilizzare il DOS, volevo sviluppare un'applicazione specifica.
462964	468048	Allora a questo punto ci sono altri interface che potevi utilizzare
469373	474916	per poter interagire direttamente con un hardware.
476757	497528	Se passavo dall'inti 21 ci pensavo, se volevo andare su una scheda di rete, no, no, sulla porta seriale, allora avevo due possibilità, ho passato dall'inti 21, ho accettato le sue regole e poi mi facevo io una routine e programmavo le porte come dicevo io.
500387	501628	con l'assembler faccio tutto.
504950	512755	Tu stai a capire quanto è importante capire queste cose, ma sono di un'altra, sono un boomer.
514236	516537	Il problema è che con più ripetita funziona in questo modo.
517998	518778	No, non è boomer.
519179	521160	Non è ricordi della mia infanzia.
521180	521500	No, no.
521540	522561	Non è così.
522641	524182	Le cose sono state così.
524322	526743	Quindi c'è un problema.
527744	528825	Io boomer, certo.
530940	537566	Uno di ultima generazione imparerà la definizione fino a quando non ci mette mano, dopo di che la rimuove.
539287	542170	E tenderà a lavorare sempre a un livello molto più alto.
543751	547214	Quindi le informazioni sono abbastanza sfumate.
548596	552699	E' un po' difficile poi capire esattamente cosa succede sotto Tarci.
554661	557763	Perché lì diventi specialista, adesso la prima è specializzata.
559993	585649	chiaro, giusto per concludere quella cosa infatti io questo è stato usato usando Visual Studio, c'è la possibilità di vedere con il C puoi fare direttamente con il C prima si faceva, ecco che vi dicevo, prima si faceva nel video all'interno del C tu potevi fare delle chiamate dirette alle routine assembly quindi tutti scrivendo le routine assembly avanciate con
589265	593888	con un codice C. Perchè la scrivevi in assembler?
593948	601594	Perchè ti serviva l'efficienza dell'istruzione assembler, anche se molto vicino all'arvel non è come assembler.
602755	607979	Allora si scrivevano una volta delle routine specifiche, il problema dovevi inserire e poi chiamare dall'interno.
609480	613844	E lavoravi e interagivi, facendo interagire l'applicazione direttamente con la routine assembler.
615189	637510	e lui andava a fare tutti i lavori sull'arbre, come ad esempio con il cibo e anche il lino, lavorare sui singoli bit per fare il mascheramento, per fare tutto, perché c'è il tipo e ci sono gli operatori anche e ci sono gli operatori che lavorano con i singoli bit allora, perché vi dico questo?
637850	639011	perché effettivamente
641136	645680	Il ragazzo di terza mi ha fatto la domanda e gli diceva, vabbè, perché ci sono tre materie?
649763	654527	Perché ci sono tre, trovano coni completamente diversi, c'è un problema.
