start	end	text
3476	7937	Ti conosce anche il Sandro?
8037	12958	Adesso non lo so niente.
13138	13758	Anche quella sì?
14279	14839	No, non so.
16699	17219	Vector?
17879	19040	No, no, no.
19780	20700	Dicci di no?
21100	27722	No, no, mette un puntatore per la morte di Dio.
27922	29502	Ma aggiungi overhead così per niente?
31643	32783	Tanto devi gestire te quello.
38834	40475	A parte che non ha senso così.
46859	46919	No.
47299	47499	Sì?
48099	48840	È giusto qua.
49080	51221	No, non è giusto.
51761	57765	Perché è un puntatore e al Ciaro non è un back-trick.
57865	59205	Ti rende la vita più difficile, vedi?
59266	59366	Sì.
59986	66229	Ma perché tu hai batto in questa maniera?
66249	66350	Cosa?
67790	74974	C'è un'idea, poi mi dico... Ah, mi è andato a corsa
98420	99732	che cazzo ci ha a roba io
133695	137177	Guarda.
138778	142421	Ha usato... Sì.
142461	143722	No, cosa avevi usato?
143782	144382	C'è il GPS.
146203	156110	Ah, vero che mi hai chiesto.
157111	157251	Chi è?
157371	158392	Daniele Salvati?
159207	164990	Nel senso di niente.
165030	171014	Dice che con le diverse società non è affrontata un'altra.
172835	174236	Non ho detto quasi quasi.
175176	175657	Fanno venire?
178098	183421	Sì e no, nel senso che non voglio capire se è il caso di farlo venire
185718	191839	Voglio farlo parlare con voi, voglio capire quello che me l'ha mandato ieri sera.
195140	208722	Poi mi ha detto, e lo conosce anche Alessandro, mi ha detto che da un pochino non ci sentiamo e mi ha detto questa cosa.
209342	212163	Mi ha girato con diverse aziende internazionali
214711	222638	Questo è uno di quegli studenti che ha fatto tutto nella vita, no?
224840	242075	In bianchino, guarda giurata, mercati e poi praticamente adesso l'hanno lasciato ridestila con team e erano tutti ingegneri.
244532	267169	e l'avevo mandato anche delle persone quando si sono accordati per questione di distanza, che era lontana l'azienda e poi niente, non potevo, non ci senti tanto volevo così e ho intenzione di
272931	297146	un'intenzione di organizzare un incontro e vedere se ci sono delle possibilità si occupa di tantissime cose
302219	330688	e quindi è un'opportunità, anche per fare cose un po' diverse mi sta cominciando a nuogliare quindi ho bisogno di rigenerarmi almeno assenso un po' di cose, un po' di cose nuove ue Giancarlo io non ti ho ancora mandato niente, però... su github c'è tutto, qua sto facendo anche la documentazione
333113	334234	Le cose non le ha finite?
334254	335135	No, no, no.
336796	340139	Io stavo all'uoto.
340180	344424	Facciamo le cose istituzionali.
345304	349348	La tua il mio gli ha buttato un occhio?
350770	353332	L'ho visto, ho guardato.
354714	355975	Però non l'ho chiata.
356075	356996	E' molto semplice.
358627	360708	Ce l'avevo guardato quando avevo fatto il mio.
361888	367090	Sì, ho visto che hai fatto... Dove era quello?
367110	367670	Questo qua.
369271	372152	M size of type and M first, M team.
373072	374392	Cioè, cosa intendi con questi?
